ID,ParentID,Name,top,columns,sort_order,Image,date_added,date_modified,language_id,seo_keyword,description,meta_description,meta_keywords,store_ids,layout,Status
80,0,Katalogas,,,,,,,,Katalogas,,,,,,TRUE
459,0,Dovanų idėjos,,,,,,,,Dovanų idėjos,,,,,,TRUE
61,459,Kalėdiniai atvirukai 2017,,,,/banners/kaledu baneris.jpg,,,,Kalėdiniai atvirukai 2017,,,,,,TRUE
197,61,Kalėdiniai atvirukai - In Blue,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai Blue 2015.jpg,,,,Kalėdiniai atvirukai - In Blue,,,,,,TRUE
198,61,Kalėdiniai atvirukai - In Gold,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai Gold 2015.jpg,,,,Kalėdiniai atvirukai - In Gold,,,,,,TRUE
199,61,Kalėdiniai atvirukai - In Green,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai Green 2015.jpg,,,,Kalėdiniai atvirukai - In Green,,,,,,TRUE
195,61,Kalėdiniai atvirukai - In Red,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai Red 2015.jpg,,,,Kalėdiniai atvirukai - In Red,,,,,,TRUE
200,61,Kalėdiniai atvirukai - In Silver,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai Silver 2015.jpg,,,,Kalėdiniai atvirukai - In Silver,,,,,,TRUE
201,61,Kalėdiniai atvirukai - In White,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai White 2015.jpg,,,,Kalėdiniai atvirukai - In White,,,,,,TRUE
207,201,Išskirtiniai atvirukai,,,,data/FIRSTX2842RedRibbonTree.jpg,,,,Išskirtiniai atvirukai,,,,,,TRUE
150,61,Kalėdiniai atvirukai 2015,,,,data/Kaledos 2010/Kaledos 2015/Kalediniai atvirukai 2 2015.jpg,,,,Kalėdiniai atvirukai 2015,,,,,,TRUE
221,61,Kalėdinė saldi dovanėlė,,,,data/Kaledos 2010/kaledines-dovanos-saldi-dezute-saldainiams .jpg,,,,Kalėdinė saldi dovanėlė,,,,,,TRUE
113,61,Velykos,,,,data/Velykos/virselis.png,,,,Velykos,,,,,,TRUE
24,0,Dėžutės,,,,/banners/nemelis su gelem.jpg,,,,Dėžutės,,,,,,TRUE
251,24,Daiktadėžės,,,,/virseliai/daiktazedes.jpg,,,,Daiktadėžės,,,,,,TRUE
128,24,Dovanų dėžutės,,,,/banners/sald dezutes.jpg,,,,Dovanų dėžutės,,,,,,TRUE
502,128,Auksinės dėžutės,,,,/filter/Atviruko spalva forma/auksine.jpg,,,,Auksinės dėžutės,,,,,,TRUE
548,502, Sendintas auksas (Oro Nero),,,,,,,, Sendintas auksas (Oro Nero),,,,,,TRUE
521,502,Auksinė lygi,,,,/Dezutes/Real Gold/virselis auskiniu dezuciu.jpg,,,,Auksinė lygi,,,,,,TRUE
261,502,Auksinė prabangiai blizgi (Pelle Oro),,,,/Dezutes/Pelle oro/Dezute-verslo-dovanu-dezutes-auksines-sveciu-dovaneles-dovanos-dovana-pelle-oro..jpg,,,,Auksinė prabangiai blizgi (Pelle Oro),,,,,,TRUE
105,502,Auksinė su drobės faktūra (Seta Oro),,,,data/DEZUTES/Seta Oro/53.gif,,,,Auksinė su drobės faktūra (Seta Oro),,,,,,TRUE
399,502,Auksinė su įspaustu raštu (Sfere Oro),,,,/Dezutes/Sfere Oro/Sfere Oro_.jpg,,,,Auksinė su įspaustu raštu (Sfere Oro),,,,,,TRUE
497,502,Bronzinė su iškiliu raštu (Bronzo),,,,/Dezutes/Bronzo/bronzo.jpg,,,,Bronzinė su iškiliu raštu (Bronzo),,,,,,TRUE
